,scrape_id,last_scraped,source
0,20250625193454,2025-06-26,city scrape
1,20250625193454,2025-06-27,city scrape
2,20250625193454,2025-06-26,city scrape
3,20250625193454,2025-06-27,city scrape
4,20250625193454,2025-06-26,city scrape
5,20250625193454,2025-06-26,city scrape
6,20250625193454,2025-06-26,city scrape
7,20250625193454,2025-06-30,previous scrape
8,20250625193454,2025-06-27,city scrape
9,20250625193454,2025-06-26,city scrape
10,20250625193454,2025-06-30,city scrape
11,20250625193454,2025-06-26,city scrape
12,20250625193454,2025-06-26,city scrape
13,20250625193454,2025-06-27,city scrape
14,20250625193454,2025-06-26,city scrape
15,20250625193454,2025-06-26,city scrape
16,20250625193454,2025-06-27,city scrape
17,20250625193454,2025-06-26,city scrape
18,20250625193454,2025-06-26,city scrape
19,20250625193454,2025-06-27,city scrape
20,20250625193454,2025-06-26,city scrape
21,20250625193454,2025-06-26,city scrape
22,20250625193454,2025-06-26,city scrape
23,20250625193454,2025-06-26,city scrape
24,20250625193454,2025-06-27,previous scrape
25,20250625193454,2025-06-27,previous scrape
26,20250625193454,2025-06-26,city scrape
27,20250625193454,2025-06-30,city scrape
28,20250625193454,2025-06-26,city scrape
29,20250625193454,2025-06-26,city scrape
30,20250625193454,2025-06-27,previous scrape
31,20250625193454,2025-06-27,previous scrape
32,20250625193454,2025-06-26,city scrape
33,20250625193454,2025-06-27,city scrape
34,20250625193454,2025-06-27,city scrape
35,20250625193454,2025-06-27,city scrape
36,20250625193454,2025-06-26,city scrape
37,20250625193454,2025-06-27,previous scrape
38,20250625193454,2025-06-27,city scrape
39,20250625193454,2025-06-26,city scrape
40,20250625193454,2025-06-26,city scrape
41,20250625193454,2025-06-26,city scrape
42,20250625193454,2025-06-27,previous scrape
43,20250625193454,2025-06-27,previous scrape
44,20250625193454,2025-06-27,previous scrape
45,20250625193454,2025-06-26,city scrape
46,20250625193454,2025-06-27,city scrape
47,20250625193454,2025-06-26,city scrape
48,20250625193454,2025-06-27,city scrape
49,20250625193454,2025-06-26,city scrape
50,20250625193454,2025-06-26,city scrape
51,20250625193454,2025-06-26,city scrape
52,20250625193454,2025-06-27,city scrape
53,20250625193454,2025-06-27,city scrape
54,20250625193454,2025-06-27,city scrape
55,20250625193454,2025-06-26,city scrape
56,20250625193454,2025-06-26,city scrape
57,20250625193454,2025-06-27,previous scrape
