,host_name,host_since,neighbourhood,property_type,room_type,price
151,Louisa,2010-02-14,Neighborhood highlights,Entire condo,Entire home/apt,$290.00
152,Ling Yi,2014-09-22,Neighborhood highlights,Entire rental unit,Entire home/apt,$389.00
153,Miriam Dale,2011-10-07,Neighborhood highlights,Entire rental unit,Entire home/apt,$400.00
154,Claudio,2016-04-04,,Entire rental unit,Entire home/apt,$332.00
155,Ling Yi,2014-09-22,Neighborhood highlights,Entire rental unit,Entire home/apt,$398.00
156,Catherine,2016-04-08,Neighborhood highlights,Private room in condo,Private room,$65.00
157,,,Neighborhood highlights,Entire condo,Entire home/apt,$161.00
158,Steve,2015-09-05,Neighborhood highlights,Entire condo,Entire home/apt,$50.00
159,Daniel,2013-11-17,,Entire rental unit,Entire home/apt,$175.00
160,Kay,2016-04-18,Neighborhood highlights,Entire rental unit,Entire home/apt,
161,Ying,2016-04-25,Neighborhood highlights,Entire home,Entire home/apt,$325.00
162,Ling Yi,2014-09-22,Neighborhood highlights,Entire rental unit,Entire home/apt,$356.00
163,Gema,2015-08-30,Neighborhood highlights,Private room in rental unit,Private room,$115.00
164,Ying,2016-04-25,Neighborhood highlights,Entire rental unit,Entire home/apt,$550.00
165,Agnes,2015-07-26,Neighborhood highlights,Private room in home,Private room,$98.00
166,Ying,2016-04-25,,Private room in rental unit,Private room,$89.00
167,Carolyn,2012-07-29,Neighborhood highlights,Entire rental unit,Entire home/apt,$176.00
168,Ying,2016-04-25,,Private room in rental unit,Private room,$81.00
169,Ying,2016-04-25,Neighborhood highlights,Private room in home,Private room,$65.00
170,Jurek,2014-09-24,Neighborhood highlights,Private room in guest suite,Private room,$78.00
171,Riverside,2015-12-11,Neighborhood highlights,Private room in rental unit,Private room,
172,Ian,2016-05-25,Neighborhood highlights,Private room in rental unit,Private room,
173,Dan,2013-11-11,Neighborhood highlights,Entire home,Entire home/apt,$140.00
174,Gema,2015-08-30,Neighborhood highlights,Private room in rental unit,Private room,$113.00
175,Norma,2015-06-24,Neighborhood highlights,Entire guest suite,Entire home/apt,
176,Jessica,2015-03-02,Neighborhood highlights,Entire rental unit,Entire home/apt,$118.00
177,Christiana,2016-06-18,Neighborhood highlights,Private room in home,Private room,$151.00
178,Christiana,2016-06-18,,Private room in home,Private room,$150.00
179,Yan,2015-09-24,Neighborhood highlights,Entire rental unit,Entire home/apt,
180,Thomas,2014-02-25,Neighborhood highlights,Entire rental unit,Entire home/apt,$75.00
181,Nelson And Pauline,2016-07-12,Neighborhood highlights,Entire rental unit,Entire home/apt,$175.00
182,Gema,2015-08-30,Neighborhood highlights,Private room in rental unit,Private room,$117.00
183,Riverside,2015-12-11,,Private room in rental unit,Private room,
184,Bernardo,2011-12-05,,Entire rental unit,Entire home/apt,
185,Irene,2016-07-27,Neighborhood highlights,Private room in rental unit,Private room,$100.00
186,,,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
187,Shallu,2015-12-06,,Entire rental unit,Entire home/apt,$192.00
188,Mehtap Leyla,2012-09-18,Neighborhood highlights,Entire guest suite,Entire home/apt,$125.00
189,Samuel,2016-08-13,,Shared room in rental unit,Shared room,
190,Thomas,2014-02-25,,Private room in rental unit,Private room,$60.00
191,Riverside,2015-12-11,,Private room in rental unit,Private room,
192,Riverside,2015-12-11,,Private room in rental unit,Private room,
193,Robert,2016-08-26,Neighborhood highlights,Entire rental unit,Entire home/apt,$167.00
194,Philip,2013-09-19,Neighborhood highlights,Entire condo,Entire home/apt,$402.00
195,Zheng,2013-05-28,Neighborhood highlights,Entire villa,Entire home/apt,$290.00
196,Marie,2015-05-03,Neighborhood highlights,Private room in home,Private room,$155.00
197,Kemi,2016-09-16,Neighborhood highlights,Entire rental unit,Entire home/apt,$243.00
198,Serena,2012-08-26,Neighborhood highlights,Private room in townhouse,Private room,$81.00
199,Debby,2013-01-28,Neighborhood highlights,Entire condo,Entire home/apt,
200,Riverside,2015-12-11,Neighborhood highlights,Private room in rental unit,Private room,
201,Bluebird,2016-09-16,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
202,Bluebird,2016-09-16,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
203,Bluebird,2016-09-16,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
204,Bluebird,2016-09-16,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
205,Bluebird,2016-09-16,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
206,Suzanne Helen,2014-01-26,Neighborhood highlights,Entire rental unit,Entire home/apt,$149.00
207,Steve,2015-09-05,Neighborhood highlights,Entire condo,Entire home/apt,
208,Steve,2015-09-05,Neighborhood highlights,Entire condo,Entire home/apt,$318.00
209,Cambridge,2016-11-01,Neighborhood highlights,Entire condo,Entire home/apt,$303.00
210,Carla & Steve,2016-05-08,Neighborhood highlights,Private room in cottage,Private room,$135.00
211,Riverside,2015-12-11,,Private room in rental unit,Private room,
212,Riverside,2015-12-11,,Private room in rental unit,Private room,
213,Riverside,2015-12-11,,Private room in rental unit,Private room,
214,Michael,2016-11-09,Neighborhood highlights,Entire condo,Entire home/apt,$135.00
215,Ann,2015-06-10,Neighborhood highlights,Entire rental unit,Entire home/apt,$362.00
216,Kjersti,2013-05-28,Neighborhood highlights,Entire rental unit,Entire home/apt,$390.00
217,Riverside,2015-12-11,,Private room in rental unit,Private room,$113.00
218,Riverside,2015-12-11,,Private room in rental unit,Private room,
219,Riverside,2015-12-11,,Private room in rental unit,Private room,
220,Riverside,2015-12-11,,Private room in rental unit,Private room,
221,Matthew,2011-11-03,Neighborhood highlights,Private room in guest suite,Private room,$159.00
222,Marta,2014-04-03,,Entire rental unit,Entire home/apt,$135.00
223,Nikita,2009-09-01,Neighborhood highlights,Private room in home,Private room,$80.00
224,Anne,2016-12-13,Neighborhood highlights,Entire home,Entire home/apt,$423.00
225,Jason,2013-04-21,Neighborhood highlights,Private room in rental unit,Private room,$124.00
226,Riverside,2015-12-11,,Private room in rental unit,Private room,
227,Carol,2018-12-08,Neighborhood highlights,Private room in home,Private room,$100.00
228,Stephanie & Ken,2013-05-11,Neighborhood highlights,Entire rental unit,Entire home/apt,
229,Nikita,2009-09-01,,Private room in home,Private room,$80.00
230,Judith L,2009-09-24,Neighborhood highlights,Private room in home,Private room,$105.00
231,Katrin,2014-03-19,Neighborhood highlights,Entire rental unit,Entire home/apt,$270.00
232,Federico,2013-04-10,Neighborhood highlights,Entire rental unit,Entire home/apt,$380.00
233,Huani,2016-08-26,Neighborhood highlights,Entire rental unit,Entire home/apt,$197.00
234,Ann,2015-06-10,Neighborhood highlights,Entire rental unit,Entire home/apt,$590.00
235,Gerald A,2016-09-06,,Boat,Entire home/apt,$164.00
236,David & Jane,2017-05-29,Neighborhood highlights,Entire condo,Entire home/apt,
237,Parker,2017-01-16,,Entire townhouse,Entire home/apt,$760.00
238,Louisa,2010-02-14,Neighborhood highlights,Entire condo,Entire home/apt,$376.00
239,David,2016-01-21,Neighborhood highlights,Entire home,Entire home/apt,$216.00
240,Rachel,2014-06-16,,Private room in home,Private room,$50.00
241,Louisa,2010-02-14,Neighborhood highlights,Entire condo,Entire home/apt,$226.00
242,Louisa,2010-02-14,Neighborhood highlights,Entire condo,Entire home/apt,$225.00
243,Karen,2017-08-12,Neighborhood highlights,Entire rental unit,Entire home/apt,$234.00
244,Steve,2015-09-05,,Entire rental unit,Entire home/apt,
245,Mo,2015-08-04,Neighborhood highlights,Entire rental unit,Entire home/apt,
246,Marie,2015-05-03,Neighborhood highlights,Private room in home,Private room,$170.00
247,Louisa,2010-02-14,Neighborhood highlights,Entire condo,Entire home/apt,$266.00
248,Lynne,2016-09-04,,Private room in home,Private room,$61.00
249,Jamal,2015-07-23,Neighborhood highlights,Private room in rental unit,Private room,$81.00
250,Jamal,2015-07-23,Neighborhood highlights,Private room in rental unit,Private room,$82.00
251,Vanessa,2017-09-19,Neighborhood highlights,Entire rental unit,Entire home/apt,$365.00
252,Doriana,2013-07-11,Neighborhood highlights,Entire condo,Entire home/apt,$145.00
253,,,Neighborhood highlights,Entire townhouse,Entire home/apt,$669.00
254,David,2015-08-18,Neighborhood highlights,Entire rental unit,Entire home/apt,$220.00
255,Isabelle,2017-03-04,Neighborhood highlights,Entire rental unit,Entire home/apt,$202.00
256,Vinit,2012-11-28,Neighborhood highlights,Private room in home,Private room,$150.00
257,Alexandria,2016-10-26,Neighborhood highlights,Entire condo,Entire home/apt,$164.00
258,Jurek,2014-09-24,Neighborhood highlights,Private room in rental unit,Private room,$73.00
259,Brian,2017-12-04,Neighborhood highlights,Entire rental unit,Entire home/apt,
260,Michael,2017-11-22,Neighborhood highlights,Entire home,Entire home/apt,$477.00
261,Gunduz,2013-09-08,Neighborhood highlights,Entire rental unit,Entire home/apt,$190.00
262,Huanan,2017-12-14,Neighborhood highlights,Entire rental unit,Entire home/apt,$148.00
263,Ken,2016-05-07,Neighborhood highlights,Entire rental unit,Entire home/apt,$100.00
264,Huanan,2017-12-14,Neighborhood highlights,Entire rental unit,Entire home/apt,$144.00
265,Hong,2017-12-16,,Room in boutique hotel,Private room,$143.00
266,Churchill,2013-10-14,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
