,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listings_count,host_total_listings_count,id,host_id,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_identity_verified,has_availability,instant_bookable,amenities,host_since,host_location,host_name,listing_url
10,42.39346,-71.13137,4,1.0,1.0,2.0,$325.00,2,60,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,13,36,201,410,38,2,4.93,4.95,4.95,4.95,4.97,4.88,4.82,,,715532,3673828,North Cambridge,,Entire rental unit,Entire home/apt,,,,t,,,t,f,"[""Cleaning available during stay"", ""Iron"", ""Bed linens"", ""Fire extinguisher"", ""Keypad"", ""Coffee maker: drip coffee maker, french press"", ""Children\u2019s dinnerware"", ""Dryer"", ""Stainless steel induction stove"", ""Shared backyard \u2013 Not fully fenced"", ""Smoke alarm"", ""Dishes and silverware"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Essentials"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Cooking basics"", ""Game console"", ""Pack \u2019n play/Travel crib"", ""Hot water"", ""TV with Netflix, Roku, Amazon Prime Video"", ""First aid kit"", ""Refrigerator"", ""AC - split type ductless system"", ""Kitchen"", ""Long term stays allowed"", ""Shared patio or balcony"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Shampoo"", ""Hangers"", ""Washer \u2013\u00a0In building"", ""Dishwasher"", ""Free parking on premises"", ""Heating"", ""Oven"", ""Free street parking"", ""Crib - always at the listing"", ""Self check-in""]",,,,https://www.airbnb.com/rooms/715532
11,42.36545,-71.10268,3,1.0,1.0,2.0,$141.00,30,250,30.0,30.0,250.0,250.0,30.0,250.0,0,8,16,106,134,1,0,4.57,4.81,4.31,4.91,4.88,4.82,4.53,5.0,6.0,742574,1152305,The Port,,Entire rental unit,Entire home/apt,a few days or more,0%,0%,f,"['email', 'phone']",f,t,f,"[""Heating"", ""Coffee maker"", ""First aid kit"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""High chair"", ""Hair dryer"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Lockbox"", ""Hangers"", ""Cooking basics"", ""Stove"", ""Dedicated workspace"", ""Paid parking off premises"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""TV"", ""Wifi""]",2011-09-13,"Mid-Cambridge, MA",Greg,https://www.airbnb.com/rooms/742574
12,42.3777054,-71.1228332,3,1.0,1.0,2.0,$320.00,2,1124,5.0,30.0,1124.0,1124.0,29.7,1124.0,30,60,90,270,91,0,0,4.61,4.66,4.63,4.7,4.82,4.94,4.39,6.0,19.0,788196,3668535,Neighborhood Nine,,Entire rental unit,Entire home/apt,within an hour,100%,94%,t,"['email', 'phone']",t,t,f,"[""Children\u2019s dinnerware"", ""Baking sheet"", ""Clothing storage: walk-in closet and closet"", ""Heating"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Conditioner"", ""Laundromat nearby"", ""Dishwasher"", ""Wine glasses"", ""First aid kit"", ""Babysitter recommendations"", ""Iron"", ""Elevator"", ""Ethernet connection"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Self check-in"", ""Rice maker"", ""Shampoo"", ""Oven"", ""Children\u2019s books and toys"", ""Paid street parking off premises"", ""Extra pillows and blankets"", ""Paid dryer \u2013 In building"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Hot water"", ""Drying rack for clothing"", ""Microwave"", ""Freezer"", ""Hangers"", ""Hot water kettle"", ""Cooking basics"", ""Window AC unit"", ""Toaster"", ""Cleaning available during stay"", ""Bathtub"", ""Stove"", ""TV with standard cable"", ""Shower gel"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Dining table"", ""Carbon monoxide alarm"", ""Kitchen"", ""Keypad"", ""Long term stays allowed"", ""Wifi""]",2012-09-25,"Boston, MA",Reem,https://www.airbnb.com/rooms/788196
13,42.38373,-71.11424,2,1.0,1.0,1.0,$56.00,3,30,3.0,3.0,30.0,30.0,3.0,30.0,3,5,8,37,568,30,4,4.93,4.95,4.92,4.99,4.98,4.93,4.94,1.0,1.0,860634,4507945,Agassiz,,Private room in bed and breakfast,Private room,within a few hours,100%,91%,f,"['email', 'phone']",f,t,f,"[""Heating"", ""Private backyard"", ""First aid kit"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Breakfast"", ""Hair dryer"", ""Fire extinguisher"", ""Free street parking"", ""Shampoo"", ""Oven"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Hangers"", ""Cooking basics"", ""Stove"", ""Bed linens"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""TV"", ""Wifi""]",2012-12-27,"Cambridge, MA",Deborah,https://www.airbnb.com/rooms/860634
14,42.37122,-71.10797,2,1.0,1.0,1.0,$142.00,15,1124,15.0,15.0,1124.0,1124.0,15.0,1124.0,0,12,17,40,10,2,0,4.67,4.8,4.7,4.8,4.7,5.0,4.6,1.0,1.0,910408,4883794,Mid-Cambridge,,Entire condo,Entire home/apt,within an hour,91%,40%,f,"['email', 'phone']",t,t,f,"[""Heating"", ""Coffee maker"", ""Dishwasher"", ""First aid kit"", ""Iron"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Self check-in"", ""Oven"", ""Private entrance"", ""Smoke alarm"", ""Backyard"", ""Essentials"", ""Sun loungers"", ""Hot water"", ""Microwave"", ""Patio or balcony"", ""Lockbox"", ""Hangers"", ""Cooking basics"", ""Stove"", ""Dryer"", ""TV with standard cable"", ""Dedicated workspace"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""Wifi""]",2013-01-28,"Cambridge, MA",Melissa,https://www.airbnb.com/rooms/910408
15,42.37285,-71.11263,2,1.0,1.0,1.0,$123.00,91,365,91.0,91.0,365.0,365.0,91.0,365.0,25,48,48,193,15,0,0,4.93,4.93,4.87,4.93,4.93,5.0,4.53,1.0,2.0,1054635,3087212,Mid-Cambridge,,Entire rental unit,Entire home/apt,,,67%,f,"['email', 'phone']",t,t,f,"[""Heating"", ""Coffee maker"", ""Dishwasher"", ""Wine glasses"", ""Iron"", ""Washer"", ""Refrigerator"", ""Hair dryer"", ""Shampoo"", ""Oven"", ""Private entrance"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Freezer"", ""Hangers"", ""Hot water kettle"", ""Stove"", ""Dryer"", ""43 inch HDTV"", ""Dedicated workspace"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""Wifi""]",2012-07-29,"Cambridge, MA",Eleanor,https://www.airbnb.com/rooms/1054635
16,42.39426,-71.13258,7,2.0,4.0,3.0,$405.00,10,30,10.0,10.0,30.0,30.0,10.0,30.0,23,53,83,358,0,0,0,,,,,,,,4.0,4.0,1080789,40965,North Cambridge,,Entire condo,Entire home/apt,within a day,100%,55%,t,"['email', 'phone']",t,t,f,"[""Smoke alarm"", ""Heating"", ""Dryer"", ""Pets allowed"", ""TV with standard cable"", ""Coffee maker"", ""Self check-in"", ""Patio or balcony"", ""Lockbox"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Washer"", ""Wifi""]",2009-09-24,"Cambridge, MA",Judith L,https://www.airbnb.com/rooms/1080789
17,42.35734,-71.10973,2,1.0,1.0,1.0,$82.00,21,1125,21.0,21.0,1125.0,1125.0,21.0,1125.0,30,60,90,365,54,1,0,4.75,4.79,4.75,4.81,4.64,4.69,4.47,5.0,7.0,1097262,6030020,Cambridgeport,,Private room in serviced apartment,Private room,within an hour,100%,87%,t,"['email', 'phone']",t,t,f,"[""Baking sheet"", ""Heating"", ""Books and reading material"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Conditioner"", ""Laundromat nearby"", ""Safe"", ""Free dryer \u2013 In unit"", ""Dishwasher"", ""Wine glasses"", ""First aid kit"", ""Coffee"", ""Iron"", ""Shared BBQ grill: gas"", ""Ethernet connection"", ""Portable fans"", ""Exercise equipment"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Blender"", ""Self check-in"", ""HDTV with Chromecast"", ""Shampoo"", ""Bidet"", ""Board games"", ""Oven"", ""Rice maker"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Shared backyard \u2013 Not fully fenced"", ""Fast wifi \u2013 119 Mbps"", ""Hot water"", ""Microwave"", ""Free washer \u2013 In unit"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Smart lock"", ""Exterior security cameras on property"", ""Outdoor dining area"", ""Hangers"", ""Hot water kettle"", ""Cooking basics"", ""Toaster"", ""Bathtub"", ""Stove"", ""Barbecue utensils"", ""Outdoor furniture"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Dining table"", ""Housekeeping available Thursday"", ""Paid parking off premises"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed""]",2013-04-21,"Cambridge, MA",Jason,https://www.airbnb.com/rooms/1097262
18,42.35966,-71.10854,2,1.0,1.0,1.0,$117.00,21,730,21.0,21.0,730.0,730.0,21.0,730.0,0,15,45,320,84,2,0,4.73,4.8,4.74,4.85,4.84,4.83,4.54,5.0,7.0,1140201,6030020,Cambridgeport,,Private room in rental unit,Private room,within an hour,100%,87%,t,"['email', 'phone']",t,t,f,"[""Baking sheet"", ""TV with Chromecast"", ""Books and reading material"", ""Heating"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Conditioner"", ""Laundromat nearby"", ""Fast wifi \u2013 120 Mbps"", ""Bikes"", ""Safe"", ""Free dryer \u2013 In unit"", ""Dishwasher"", ""Wine glasses"", ""First aid kit"", ""Coffee"", ""Iron"", ""Shared BBQ grill: gas"", ""Ethernet connection"", ""Refrigerator"", ""Exercise equipment"", ""Dishes and silverware"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Blender"", ""Shared patio or balcony"", ""Self check-in"", ""Rice maker"", ""Shampoo"", ""Bidet"", ""Board games"", ""Oven"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Hot water"", ""Drying rack for clothing"", ""Microwave"", ""Free washer \u2013 In unit"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Smart lock"", ""Exterior security cameras on property"", ""Outdoor dining area"", ""Hangers"", ""Hot water kettle"", ""Cooking basics"", ""Shared backyard"", ""Window AC unit"", ""Lock on bedroom door"", ""Toaster"", ""Bathtub"", ""Stove"", ""Cleaning available during stay"", ""Barbecue utensils"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Dining table"", ""Paid parking off premises"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed""]",2013-04-21,"Cambridge, MA",Jason,https://www.airbnb.com/rooms/1140201
19,42.37324,-71.09635,4,1.0,2.0,2.0,$217.00,2,180,2.0,2.0,180.0,180.0,2.0,180.0,3,6,13,64,684,65,8,4.8,4.91,4.85,4.95,4.94,4.85,4.76,2.0,2.0,1141088,2530211,Wellington-Harrington,,Entire rental unit,Entire home/apt,within an hour,100%,98%,t,"['email', 'phone']",t,t,f,"[""Children\u2019s dinnerware"", ""Baking sheet"", ""Books and reading material"", ""Electric stove"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Wine glasses"", ""First aid kit"", ""Coffee"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Dove body soap"", ""Dove conditioner"", ""Fast wifi \u2013 73 Mbps"", ""Free street parking"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Children\u2019s books and toys"", ""Crib - always at the listing"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Coffee maker: french press, Keurig coffee machine"", ""Essentials"", ""Clothing storage: closet and wardrobe"", ""Hot water"", ""Microwave"", ""Freezer"", ""Exterior security cameras on property"", ""Kitchen"", ""Hangers"", ""Ceiling fan"", ""Hot water kettle"", ""Cooking basics"", ""Window AC unit"", ""Toaster"", ""Bathtub"", ""Shower gel"", ""Bed linens"", ""60 inch HDTV with premium cable, Chromecast"", ""Cleaning products"", ""Booster seat high chair - available upon request"", ""Dedicated workspace"", ""Dining table"", ""Carbon monoxide alarm"", ""Central heating"", ""Keypad"", ""Long term stays allowed""]",2012-06-02,"Cambridge, MA",Erin,https://www.airbnb.com/rooms/1141088
